Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Peru,PER,GDP (current US$),1.90E+11,1.92E+11,2.11E+11,2.23E+11,2.28E+11,2.01E+11,2.26E+11,2.46E+11,2.68E+11
Philippines,PHL,GDP (current US$),3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11,4.04E+11,4.37E+11
Poland,POL,GDP (current US$),4.77E+11,4.70E+11,5.25E+11,5.89E+11,5.96E+11,5.99E+11,6.81E+11,6.90E+11,8.11E+11
Portugal,PRT,GDP (current US$),1.99E+11,2.06E+11,2.21E+11,2.42E+11,2.40E+11,2.29E+11,2.56E+11,2.55E+11,2.87E+11
Puerto Rico,PRI,GDP (current US$),1.03E+11,1.04E+11,1.03E+11,1.01E+11,1.05E+11,1.03E+11,1.06E+11,1.14E+11,1.18E+11
Qatar,QAT,GDP (current US$),1.62E+11,1.52E+11,1.61E+11,1.83E+11,1.76E+11,1.44E+11,1.80E+11,2.36E+11,
Romania,ROU,GDP (current US$),1.78E+11,1.85E+11,2.10E+11,2.43E+11,2.51E+11,2.51E+11,2.86E+11,2.99E+11,3.51E+11
Russia,RUS,GDP (current US$),1.36E+12,1.28E+12,1.57E+12,1.66E+12,1.69E+12,1.49E+12,1.84E+12,2.27E+12,2.02E+12
Rwanda,RWA,GDP (current US$),8543759089,8695272095,9252834120,9637904553,10349299856,10174387614,11069280277,13316160804,14097768648
Samoa,WSM,GDP (current US$),824150498.7,843924796.7,884844384.5,878448433.4,912950466.1,868898358.3,843923638.7,832945205.6,934100336.3
San Marino,SMR,GDP (current US$),1419400404,1468342431,1528621195,1655354304,1616188702,1541247884,1855382833,,
Sao Tome and Principe,STP,GDP (current US$),259999643,292267272.2,322002845.2,383717327.8,412976064.5,471229484.6,524402450.8,542686976.5,603240749
Saudi Arabia,SAU,GDP (current US$),6.69E+11,6.66E+11,7.15E+11,8.47E+11,8.39E+11,7.34E+11,8.74E+11,1.11E+12,1.07E+12
Senegal,SEN,GDP (current US$),17774766696,19040312333,20996562944,23116701556,23403995992,24530513038,27520784130,27619479060,31013986429
Serbia,SRB,GDP (current US$),39655949731,40692661657,44179075779,50640662859,51514242939,53356484591,63101042898,63563410721,75187125427
Seychelles,SYC,GDP (current US$),1432403352,1568513348,1675370641,1784313927,1868690097,1382551752,1487173795,2057968520,2141450171
Sierra Leone,SLE,GDP (current US$),4252029354,3862721266,3719443418,4085114388,4076578699,4062906266,4249234704,4094563859,3809832237
Singapore,SGP,GDP (current US$),3.08E+11,3.19E+11,3.43E+11,3.77E+11,3.77E+11,3.49E+11,4.34E+11,4.98E+11,5.01E+11
Sint Maarten (Dutch part),SXM,GDP (current US$),1417888715,1427017207,1353212123,1259200447,1407880447,1236428101,1353071061,1537088715,1623165683
Slovakia,SVK,GDP (current US$),88900883131,89952699525,95649966261,1.06E+11,1.06E+11,1.07E+11,1.19E+11,1.16E+11,1.33E+11
Slovenia,SVN,GDP (current US$),43107506024,44766722791,48589100043,54177882426,54386654314,53734526854,61832201544,60063475466,68216781411
Solomon Islands,SLB,GDP (current US$),1307909888,1379490304,1469789119,1615478393,1619155017,1536145814,1522794913,1566360686,1631286701
Somalia,SOM,GDP (current US$),6984947145,7390796617,8252394373,8278212314,9420431258,9204140383,9838711529,10419541202,11679800110
South Africa,ZAF,GDP (current US$),3.47E+11,3.24E+11,3.81E+11,4.05E+11,3.89E+11,3.38E+11,4.20E+11,4.05E+11,3.78E+11
South Sudan,SSD,GDP (current US$),11997800760,,,,,,,,
Spain,ESP,GDP (current US$),1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12,1.28E+12,1.45E+12,1.42E+12,1.58E+12
Sri Lanka,LKA,GDP (current US$),85140955389,88012282206,94376237797,94493871201,89014978344,84304298771,88609332762,74144875098,84356860421
Saint Kitts and Nevis,KNA,GDP (current US$),957222222.2,1006818519,1056977778,1076548148,1107855556,883922222.2,858622222.2,981429629.6,1077033111
